iter	Passed	Remaining
0	169	169332
1	173	86680
2	177	58836
3	178	44545
4	180	35960
5	182	30192
6	183	26100
7	186	23091
8	188	20730
9	189	18798
10	191	17252
11	193	15943
12	195	14823
13	197	13899
14	199	13114
15	201	12410
16	203	11758
17	205	11217
18	207	10726
19	209	10265
20	211	9841
21	212	9465
22	215	9134
23	216	8816
24	218	8523
25	220	8252
26	221	7997
27	223	7758
28	226	7586
29	228	7398
30	230	7201
31	231	7011
32	233	6842
33	235	6683
34	236	6531
35	238	6396
36	241	6274
37	242	6150
38	244	6023
39	246	5911
40	248	5802
41	249	5698
42	251	5599
43	253	5514
44	255	5429
45	257	5342
46	259	5257
47	261	5180
48	263	5104
49	265	5039
50	267	4985
51	269	4913
52	271	4846
53	272	4778
54	274	4711
55	275	4645
56	276	4581
57	278	4521
58	279	4463
59	281	4406
60	282	4350
61	284	4296
62	285	4244
63	286	4194
64	288	4144
65	289	4099
66	291	4056
67	293	4022
68	295	3986
69	297	3950
70	298	3908
71	300	3867
72	301	3831
73	303	3795
74	304	3761
75	306	3724
76	307	3688
77	309	3662
78	312	3637
79	313	3608
80	315	3578
81	316	3547
82	317	3509
83	319	3479
84	320	3450
85	322	3422
86	323	3394
87	325	3370
88	326	3345
89	328	3322
90	329	3295
91	331	3271
92	333	3251
93	334	3227
94	336	3203
95	337	3178
96	339	3158
97	341	3138
98	342	3120
99	344	3098
100	345	3076
101	347	3056
102	348	3036
103	349	3014
104	351	2995
105	352	2976
106	354	2960
107	356	2942
108	357	2923
109	359	2908
110	360	2890
111	362	2872
112	363	2855
113	365	2839
114	366	2822
115	368	2807
116	369	2791
117	371	2777
118	373	2762
119	374	2746
120	376	2736
121	378	2723
122	380	2714
123	382	2704
124	384	2693
125	386	2684
126	388	2671
127	390	2660
128	392	2648
129	393	2634
130	395	2625
131	397	2615
132	399	2602
133	400	2590
134	402	2576
135	403	2563
136	404	2550
137	406	2537
138	407	2524
139	408	2511
140	410	2499
141	411	2483
142	412	2473
143	414	2462
144	415	2451
145	417	2441
146	418	2431
147	421	2424
148	423	2417
149	425	2410
150	427	2403
151	429	2394
152	430	2385
153	432	2375
154	433	2364
155	435	2354
156	436	2343
157	437	2333
158	439	2324
159	441	2317
160	442	2305
161	443	2295
162	445	2286
163	446	2276
164	447	2267
165	449	2257
166	451	2250
167	452	2243
168	454	2234
169	456	2227
170	457	2219
171	459	2211
172	461	2204
173	463	2198
174	464	2189
175	466	2183
176	467	2176
177	469	2167
178	471	2161
179	472	2153
180	474	2146
